val_loss,epoch,step
0.146247997879982,0,932
0.1302099972963333,1,1865
0.12897512316703796,2,2798
0.1288345903158188,3,3731
0.12897203862667084,4,4664
0.12893438339233398,5,5597
0.12895917892456055,6,6530
0.12913726270198822,7,7463
0.1288362741470337,8,8396
0.1287817358970642,9,9329
0.1289256364107132,10,10262
0.1287895292043686,11,11195
0.12878768146038055,12,12128
0.12878215312957764,13,13061
0.1287459284067154,14,13994
0.1287023276090622,15,14927
0.12870284914970398,16,15860
0.12865138053894043,17,16793
0.12875886261463165,18,17726
0.12865453958511353,19,18659
