val_loss,epoch,step
6.652089595794678,0,1243
6.62457275390625,1,2487
6.597590446472168,2,3731
6.5751118659973145,3,4975
6.557243347167969,4,6219
6.542961120605469,5,7463
6.531332015991211,6,8707
6.521657466888428,7,9951
6.513401985168457,8,11195
6.506654262542725,9,12439
6.500950336456299,10,13683
6.496227741241455,11,14927
6.49216890335083,12,16171
6.488707542419434,13,17415
6.485677719116211,14,18659
6.48305606842041,15,19903
6.480863571166992,16,21147
6.47883415222168,17,22391
6.4770941734313965,18,23635
6.475488185882568,19,24879
6.474090099334717,20,26123
6.472853660583496,21,27367
6.471779823303223,22,28611
6.470784664154053,23,29855
6.4698805809021,24,31099
6.469035625457764,25,32343
6.468324661254883,26,33587
6.467673301696777,27,34831
6.4670915603637695,28,36075
6.466530799865723,29,37319
6.4660539627075195,30,38563
6.465670108795166,31,39807
6.4652934074401855,32,41051
6.464963436126709,33,42295
6.464657783508301,34,43539
6.464306354522705,35,44783
6.463943004608154,36,46027
6.463724613189697,37,47271
6.463483810424805,38,48515
6.463171005249023,39,49759
6.462949752807617,40,51003
6.462879180908203,41,52247
6.462637901306152,42,53491
6.462449550628662,43,54735
6.462262153625488,44,55979
6.462235927581787,45,57223
6.462167263031006,46,58467
6.46210241317749,47,59711
6.461892604827881,48,60955
6.461838245391846,49,62199
