val_loss,epoch,step
6.4640045166015625,0,1243
6.4635796546936035,1,2487
6.463325500488281,2,3731
6.464858531951904,3,4975
6.471362590789795,4,6219
6.465594291687012,5,7463
6.462879180908203,6,8707
6.463521480560303,7,9951
6.4633684158325195,8,11195
6.464729309082031,9,12439
6.4635844230651855,10,13683
6.4643874168396,11,14927
6.464682102203369,12,16171
6.465383052825928,13,17415
6.462049961090088,14,18659
6.465020179748535,15,19903
6.46297025680542,16,21147
6.45670747756958,17,22391
6.46173620223999,18,23635
6.46657657623291,19,24879
6.469310283660889,20,26123
6.459702491760254,21,27367
6.4668049812316895,22,28611
6.460843086242676,23,29855
6.459015369415283,24,31099
6.456363201141357,25,32343
6.456033229827881,26,33587
6.4581193923950195,27,34831
6.46396541595459,28,36075
6.459682464599609,29,37319
6.457127094268799,30,38563
6.462058067321777,31,39807
6.4580302238464355,32,41051
6.454346179962158,33,42295
6.459565162658691,34,43539
6.450976848602295,35,44783
6.458682537078857,36,46027
6.45283842086792,37,47271
6.448465347290039,38,48515
6.461225509643555,39,49759
6.455775260925293,40,51003
6.46145486831665,41,52247
6.465884685516357,42,53491
6.457564830780029,43,54735
6.457381248474121,44,55979
6.453085899353027,45,57223
6.451663017272949,46,58467
6.455776214599609,47,59711
6.454682350158691,48,60955
6.448703289031982,49,62199
