val_loss,epoch,step
6.4648284912109375,0,1243
6.461221218109131,1,2487
6.4606475830078125,2,3731
6.463742733001709,3,4975
6.465095043182373,4,6219
6.4625067710876465,5,7463
6.462449550628662,6,8707
6.462190628051758,7,9951
6.461503982543945,8,11195
6.460659980773926,9,12439
6.464094161987305,10,13683
6.461248397827148,11,14927
6.459917068481445,12,16171
6.463136196136475,13,17415
6.463017463684082,14,18659
6.461156845092773,15,19903
6.462110996246338,16,21147
6.459634780883789,17,22391
6.459168434143066,18,23635
6.4605584144592285,19,24879
6.455427646636963,20,26123
6.452458381652832,21,27367
6.450293064117432,22,28611
6.452934741973877,23,29855
6.451308727264404,24,31099
6.452113628387451,25,32343
6.451459884643555,26,33587
6.450476169586182,27,34831
6.449380397796631,28,36075
6.4504899978637695,29,37319
6.447513580322266,30,38563
6.449340343475342,31,39807
6.451148986816406,32,41051
6.448429584503174,33,42295
6.450968265533447,34,43539
6.453043460845947,35,44783
6.446138381958008,36,46027
6.446649551391602,37,47271
6.4539713859558105,38,48515
6.453788757324219,39,49759
