val_loss,epoch,step
6.464633464813232,0,1243
6.461380958557129,1,2487
6.461892604827881,2,3731
6.461215496063232,3,4975
6.464908599853516,4,6219
6.4651031494140625,5,7463
6.461641311645508,6,8707
6.463431358337402,7,9951
6.463209629058838,8,11195
6.464130878448486,9,12439
6.459839820861816,10,13683
6.461621284484863,11,14927
6.459690570831299,12,16171
6.462160110473633,13,17415
6.459226131439209,14,18659
6.459876537322998,15,19903
6.462092876434326,16,21147
6.461258411407471,17,22391
6.459131717681885,18,23635
6.453977108001709,19,24879
